id,name,type,prop1,prop1_val,prop2,prop2_val,element,elem_val,contribute,sellprice,equippos,level,BuyingPrice,SellingPrice,ItemDescription,unk1,unk2,unk3,unk4,unk5,unk6,unk9,unk10,unk11,unk12,unk13,unk14,unk15,unk16
10000,???,47,210,0,0,0,0,-100,1,1,0,0,0,0,สิ่งของไม่ทราบชื่อทิ้งได้ทุกเวลา,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10001,จอบ,39,210,0,0,0,0,-100,1,1,3,0,10,1,เครื่องมือที่มีประโยชน์ใช้งานกว้างขวาง,0,0,8,0,12,0,0,0,0,0,0,0,0,0
10002,มีดสั้น,1,210,2,0,0,0,-100,1,1,3,0,10,1,มีดสั้นที่สามารถซ่อนในอกเสื้อได้,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,ดาบสั้นเหลือง,1,210,3,0,0,0,-100,1,2,3,3,20,2,อาวุธสั้นกว่าดาบทั่วไปเหมาะสำหรับใช้ป้องกันตัว,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10004,ดาบห่วงสำริด,1,210,4,0,0,0,-100,1,3,3,5,50,3,ดาบสำหรับฝึกฝนวิทยายุทธขั้นต้นด้ามดาบมีห่วงสำริด,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10005,ดาบวายุเคลื่อน,1,210,5,0,0,0,-100,1,4,3,10,85,4,ดาบสำหรับฝึกฝนวิทยายุทธขั้นต้นด้ามดาบมีห่วงสำริด,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10006,ดาบเหล็กหมึก,1,210,6,0,0,0,-100,1,5,3,15,145,5,ดาบฝึกวิทยายุทธทั่วไปใบดาบดำขลับ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10007,ดาบยอดชาด,1,210,7,0,0,0,-100,1,6,3,20,245,6,ดาบตีจากเหล็กหยาบข้อเสียน้ำหนักมาก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10008,ดาบรัดวายุ,1,210,8,0,0,0,-100,1,7,3,25,420,7,ดาบไวมีใบดาบเบาบาง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10009,ดาบน้ำค้างแข็ง,1,210,9,0,0,0,-100,1,8,3,30,700,8,ดาบที่นำเหล็กเผาจนร้อนแดงแล้วทำให้เย็นทันทีแหลมคมมาก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,ดาบทองเลื่อน,1,210,10,0,0,0,-100,1,9,3,35,1200,9,ยามร่ายรำกระบวนท่าคมดาบจะส่องประกายเจิดจ้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10011,ดาบอสูรประกาย,1,210,11,0,0,0,-100,1,10,3,40,2050,10,ตำนานกล่าวว่าเป็นดาบที่สังหารอสูรมาแล้ว,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10012,ดาบแหลม,1,210,2,0,0,0,-100,1,1,3,0,10,1,ดาบทหารที่ผ่านศึกมาอย่างโชกโชน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10013,ดาบสั้นม่วง,1,210,3,0,0,0,-100,1,2,3,3,20,2,ดาบมีพลอยม่วงประดับบนใบดาบ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10014,ดาบตะวันเหลือง,1,210,4,0,0,0,-100,1,3,3,5,50,3,อาวุธกล้าแกร่งมีคมดาบเหลืองใส,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,ดาบมังกรธรณี,1,210,5,0,0,0,-100,1,4,3,10,85,4,อาวุธสวยงามประดับลายลวดลายมังกรเหินบนใบดาบ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016,ดาบจระเข้,1,210,6,0,0,0,-100,1,5,3,15,145,5,อาวุธร้ายประดับด้ามดาบด้วยหัวจระเข้ยักษ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017,ดาบศิลายักษ์,1,210,12,0,0,0,-100,1,11,3,45,3480,11,ดาบวิเศษมีส่วนผสมของหินผาสุดกล้าแกร่ง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10018,ดาบสยบห่านป่า,1,210,13,0,0,0,-100,1,12,3,50,5900,12,ดาบมีชื่อใบดาบยาวเรียวฝึกฝนคล่องแค่ลว,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10019,ดาบกระเรียนขาน,1,210,14,0,0,0,-100,1,13,3,55,8800,13,อาวุธด้ามดาบรูปปากกระเรียนเซียน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10020,ดาบดาวตก,1,210,15,0,0,0,-100,1,14,3,60,13300,14,ดาบวิเศษยามปกติสามารถส่องประกายเหมือนดาวตก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10021,ดาบอังคาร,1,210,16,0,0,0,-100,1,15,3,65,19900,15,ดาบแหลมคมมีชื่อหมายแทนไฟแดงฉานแห่งดาวอังคาร,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10022,ดาบเสือคำราม,1,210,17,0,0,0,-100,1,16,3,70,99999,16,อาวุธร้ายด้ามดาบเป็นรูปหัวเสือ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10023,ดาบหงษ์ร้อง,1,210,18,0,0,0,-100,1,17,3,75,42000,17,อาวุธร้ายด้ามดาบเป็นรูปหัวหงษ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10024,ดาบจิงชิง,1,210,19,0,0,0,-100,1,18,3,80,58800,18,ตำนานว่าเป็นดาบที่จิงเคอเคยใช้แหลมคมสุดเปรียบปาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10025,ดาบหม่าหยวน,1,210,20,0,0,0,-100,1,19,3,85,76400,19,ดาบแสนรักของหม่าหยวนขุนพลเลื่องชื่อสมัยตงฮั่นหนักแกร่ง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10026,ดาบเซี่ยงหวาง,1,210,21,0,0,0,-100,1,20,3,90,99000,20,ตำนานว่าเป็นดาบวิเศษของฌ้อปาอ๋องยามร่ายรำอาจหาญยิ่ง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10027,ดาบทะลวงขวัญ,1,210,22,0,0,0,-100,1,21,3,93,129000,21,ใบดาบเรียวยาวดาบเล็กที่เหมาะแก่การทะลวงสังหาร,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,ดาบสะท้านโบราณ,1,210,23,0,0,0,-100,1,22,3,96,167000,22,ดาบยาวสี่ศอกส่งประกายแสงยะเยือก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,ดาบชำแรกโบราณ,1,210,24,0,0,0,-100,1,23,3,99,218000,23,ดาบวิเศษคมกล้ามากของซุนเจียนเสือร้ายแห่งเจียงตง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10030,ดาบจอมศึก,1,210,25,0,0,0,-100,1,24,3,102,283000,24,ดาบวิเศษของยอดนักปราชญ์แห่งการทหารซุนวูบารมีล้นฟ้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10031,ดาบเหวินชวี,1,210,26,0,0,0,-100,1,25,3,105,368000,25,ดาบสั้นด้ามประดับลวดลายดาวเหวินชวี,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032,ดาบแยกปฐพี,1,210,27,0,0,0,-100,1,26,3,108,479000,26,ตำนานกล่าวว่าคือดาบที่หานซิ่นเคยใช้ประดับด้วยพลอย,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10033,ดาบสลักมังกร,1,210,28,0,0,0,-100,1,27,3,111,623000,27,ดาบวิเศษแกะสลักอย่างวิจิตรปราณีตราคาสูงล้ำ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10034,ดาบเก้าห่วง,1,210,29,0,0,0,-100,1,28,3,114,810000,28,สันดาบร้อยห่วงเก้าห่วงเป็นดาบวิเศษที่มีพลังมหาศาล,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10035,ดาบเจ็ดดารา,1,210,30,0,0,0,-100,1,29,3,117,1050000,29,ดาบวิเศษเมื่อครั้งโจโฉลอบสังหารตั๋งโต๊ะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,ดาบเพลิงธรรม,1,210,31,0,0,0,-100,1,30,3,120,1360000,30,ดาบหลอมจากหินเหล็กไฟชั้นยอดทนทานต่อความหนาวจัดร้อนจัด,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10038,ดาบราชันย์แดง,1,210,32,0,0,0,-100,1,31,3,123,1780000,31,ตำนานกล่าวว่าคือดาบรักของหลิวปังคนธรรมดาไม่สามารถใช้ได้,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10039,ดาบแห่งฮ่องเต้,1,210,33,0,0,0,-100,1,32,3,126,2310000,32,ดาบรักของฮ่องเต้ฮั่นอู่ตี้ทรงใช้บัญชากองทัพ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10040,ดาบมารคำรณ,1,210,34,0,0,0,-100,1,33,3,129,3000000,33,ดาบมารสีดำสนิทมีรังสียะเยือกแห่งพ่อมด,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10041,ดาบเทพกวาดนภา,1,210,35,0,0,0,-100,1,34,3,132,3910000,34,ดาบกล้าตีหลอมจากแร่เขาเทียนต้าง,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10042,ดาบโลหิตสวรรค์,1,210,36,0,0,0,-100,1,35,3,135,5080000,35,สุดยอดอาวุธหลอมขึ้นจากหินอุกกาบาตที่ร่วงหล่นมาจากฟากฟ้า,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10043,ดาบสลายคลื่น,1,210,14,0,0,0,-100,1,13,3,55,8800,13,ตำนานว่าเป็นดาบที่ชาวประมงชอบใช้,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10044,ดาบทหารบ้าน,1,210,9,0,0,5,2,1,8,3,30,0,8,อาวุธดาบที่ทหารบ้านต้องมีประจำกาย,0,0,0,0,8,0,0,0,0,0,0,0,1,0
10045,มีดน้อย,1,210,2,0,0,5,1,1,1,3,0,0,1,เป็นมีดขนาดเล็กเหมาะแก่การใช้สำหรับผู้เริ่มต้น,0,0,0,0,95,0,0,0,0,0,0,0,0,0
10046,ดาบทองหม่าหยวน,1,210,24,0,0,0,-100,1,23,3,99,218000,23,ดาบที่ฮ่องเต้พระราชทานให้ขุนพลหม่าหยวน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10047,ดาบทหารอาสา,1,210,19,0,0,5,2,1,18,3,80,0,18,อาวุธดาบประจำตัวของทหารบ้านเลื่อนขั้น,0,0,0,0,8,0,0,0,0,0,0,0,3,0
10048,ดาบทดสอบ,1,210,14,0,0,0,-100,1,13,3,0,0,13,ดาบทดสอบ,0,0,0,0,63,0,0,0,0,0,0,0,0,0
10037,อาวุธเสียหาย,1,210,0,0,0,0,-100,1,1,3,0,0,1,อาวุธที่เสียหาย,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10485,โคมล่าวิญญาณ,1,210,32,214,5,0,-100,1,29,3,117,0,29,โคมประกายแดงที่สามารถชิง3ดวงวิญญาณของคน,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10486,โคมยิงวิญญาณ,1,212,32,214,5,0,-100,1,29,3,117,1050000,29,โคมแสงเขียวที่สามารถยิง7ดวงวิญญาณของคน,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10487,ดอกไม้มือใหม่,1,210,15,207,20,0,-100,1,14,3,60,0,14,ช่อดอกไม้แสนสวยที่มอบให้ผู้เล่นใหม่ของTS,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10488,เล็บเทพชางผู,1,210,35,0,0,0,-100,1,29,3,117,1050000,29,ผู้กล้าที่มีกำลังมหาศาลจึงสามารถใช้ได้,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10489,ไม้เท้าปลายตะวัน,1,212,36,210,-5,0,-100,21,29,3,117,0,29,ไม้เท้าพรตที่พลังทำลายใหญ่หลวง,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10490,เล็บเทพยักษ์,1,210,45,0,0,0,-100,1,29,3,117,0,29,เล็บเหล็กนี้ผู้กล้าที่มีพลังเทพมาแต่กำเนิดจึงจะสามารถใช้ได้,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10491,พู่กันตุลาการ,1,212,50,211,-15,0,-100,3,29,3,117,0,29,พู่กันมหัศจรรย์ทำจากไม้โบราณพันปีและขนสุนัขป่ายักษ์,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10492,ดาบมังกรขย้ำ,1,210,29,214,8,0,-100,1,29,3,117,0,29,กระบี่วิเศษที่ตีขึ้นด้วยเกล็ดมังกรใต้ทะเล,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10493,เคลื่อนมังกร,1,212,33,210,3,0,-100,4,29,3,117,0,29,คำภีร์วิเศษที่บันทึกวิชาขับเคลื่อนมังกรในสมัยโบราณ,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10494,พัดหงส์ขาว,1,212,30,214,3,0,-100,5,29,3,117,0,29,พัดวิเศษที่ทำจากขนนกของหงส์ขาว,0,0,0,0,8,0,0,0,0,0,0,0,0,0
