id,name,type,image1,image2,color1,color2,color3,color4,notPet,unk5,unk6,lvl,hpmax,spmax,hpx,spx,int,atk,def,agi,doanhtrai,exp_bonus,element,skill1,skill2,skill3,drop1,drop2,drop3,drop4,drop5,drop6,unk1,skill4,reborn,unk2,unk3
10001,เตียวก๊ก,1,1051,1001,444444444,444444444,444444444,444444444,0,2,3,120,1299,591,30,44,70,30,46,50,4,2760,1,10006,10008,10013,0,0,0,48005,0,47003,0,0,0,0,0
10002,เตียวโป้,1,1050,1001,444444444,444444444,444444444,444444444,0,2,1,110,1075,467,27,29,65,38,44,47,4,2530,2,11005,11008,11011,0,0,0,0,0,47096,0,0,0,0,0
10003,เตียวเหลียง,1,1050,1001,444636444,444363444,444444444,444444444,0,2,2,102,931,474,31,33,60,33,39,42,4,2346,3,12009,12010,12011,0,0,0,0,0,47097,0,0,0,0,0
10004,เฉิงหย่วนจื้อ,1,1049,1001,444646444,671222111,111991771,444444444,0,2,5,53,335,215,19,9,7,31,21,21,4,1219,1,10002,10003,10007,27061,26156,26042,0,0,0,0,0,0,0,0
10005,เติ้งเม่า,1,1098,1001,444444344,444774662,662444444,444444444,0,15,2,49,354,174,26,3,4,28,22,17,4,1127,1,10001,10003,10006,26156,26158,27038,0,0,0,0,0,0,0,0
10006,จางม่านเฉิง,1,1086,1001,444661444,566662772,556870444,444444444,0,2,6,72,484,256,24,9,11,52,38,35,4,1656,1,10003,10006,10008,26033,26035,26170,0,0,47098,0,0,0,0,0
10007,หม่าหยวนอี้,1,1004,1001,444222444,871444773,444444444,444444444,0,9,2,70,474,275,24,13,12,49,33,34,4,1610,4,13001,13004,13006,26034,26036,27005,0,0,47099,0,0,0,0,0
10008,กัวต้า,1,1065,1001,880444444,444147444,147444444,444444444,0,1,2,47,306,206,19,10,6,24,18,19,4,1081,2,11002,11003,11006,26005,27061,0,0,0,47016,0,0,0,0,0
10009,เกาเซิง,1,1003,1001,661444444,147147662,661444444,444444444,0,2,4,48,313,217,19,12,9,26,16,16,4,1104,1,10001,10003,10007,26005,0,0,0,0,0,0,0,0,0,0
10010,เผยหยวนเส้า,1,1054,1001,444444444,663444663,333444444,444444444,0,15,1,52,340,212,21,9,13,28,17,18,4,1196,1,10001,10002,10006,27061,26158,26035,0,0,0,0,0,0,0,0
10011,ปอไฉ,1,1065,1001,444444333,555778444,667444555,444444444,0,1,7,37,241,159,15,5,9,20,13,14,4,851,4,13001,13004,13006,26008,27003,27036,40020,0,0,0,0,0,0,0
